ano mes dia hora velocidade provedor estado
2011 Dezembro 1 0 62.1123413337349 GZT PB
2011 Dezembro 1 1 38.2425554051394 GZT PB
2011 Dezembro 1 2 41.1400752747044 GZT PB
2011 Dezembro 1 3 74.1608269951925 GZT PB
2011 Dezembro 1 4 33.1469741443734 GZT PB
2011 Dezembro 1 5 22.3995128884858 GZT PB
2011 Dezembro 1 6 57.7386380810066 GZT PB
2011 Dezembro 1 7 52.8010051664832 GZT PB
2011 Dezembro 1 8 69.7471319621712 GZT PB
2011 Dezembro 1 9 57.5008034655852 GZT PB
2011 Dezembro 1 10 62.4960875581814 GZT PB
2011 Dezembro 1 11 64.2969582000114 GZT PB
2011 Dezembro 1 12 55.6533378169927 GZT PB
2011 Dezembro 1 13 27.0387536550321 GZT PB
2011 Dezembro 1 14 62.0540072152762 GZT PB
2011 Dezembro 1 15 37.1900352257592 GZT PB
2011 Dezembro 1 16 44.6278974097577 GZT PB
2011 Dezembro 1 17 28.8092529022842 GZT PB
2011 Dezembro 1 18 23.2083393543201 GZT PB
2011 Dezembro 1 19 27.5440252363002 GZT PB
2011 Dezembro 1 20 36.1231712106992 GZT PB
2011 Dezembro 1 21 68.2895179426665 GZT PB
2011 Dezembro 1 22 45.4923769167319 GZT PB
2011 Dezembro 1 23 28.2357202664071 GZT PB
2011 Dezembro 2 0 51.9188709799252 GZT PB
2011 Dezembro 2 1 57.5471785241408 GZT PB
2011 Dezembro 2 2 44.5750982030754 GZT PB
2011 Dezembro 2 3 49.5759253546746 GZT PB
2011 Dezembro 2 4 44.831002607703 GZT PB
2011 Dezembro 2 5 49.4817363907437 GZT PB
2011 Dezembro 2 6 66.5780340516888 GZT PB
2011 Dezembro 2 7 28.7896501028577 GZT PB
2011 Dezembro 2 8 50.3877922745109 GZT PB
2011 Dezembro 2 9 36.0509156336143 GZT PB
2011 Dezembro 2 10 42.5380476779234 GZT PB
2011 Dezembro 2 11 44.668607334745 GZT PB
2011 Dezembro 2 12 67.7321820757656 GZT PB
2011 Dezembro 2 13 58.7553832637462 GZT PB
2011 Dezembro 2 14 61.5526305298981 GZT PB
2011 Dezembro 2 15 62.4074472123818 GZT PB
2011 Dezembro 2 16 55.720070858974 GZT PB
2011 Dezembro 2 17 62.3422124953521 GZT PB
2011 Dezembro 2 18 63.294876258126 GZT PB
2011 Dezembro 2 19 60.8522322928299 GZT PB
2011 Dezembro 2 20 61.1852571372314 GZT PB
2011 Dezembro 2 21 68.9884783937582 GZT PB
2011 Dezembro 2 22 52.5291898924835 GZT PB
2011 Dezembro 2 23 50.2085764277155 GZT PB
2011 Dezembro 3 0 50.5074374430102 GZT PB
2011 Dezembro 3 1 51.4079581166314 GZT PB
2011 Dezembro 3 2 62.0107026685513 GZT PB
2011 Dezembro 3 3 44.1846901423422 GZT PB
2011 Dezembro 3 4 23.5278693412792 GZT PB
2011 Dezembro 3 5 75.1929616264753 GZT PB
2011 Dezembro 3 6 34.3171305924387 GZT PB
2011 Dezembro 3 7 60.4228574762491 GZT PB
2011 Dezembro 3 8 50.9847248147953 GZT PB
2011 Dezembro 3 9 42.6125440042482 GZT PB
2011 Dezembro 3 10 52.7926789392413 GZT PB
2011 Dezembro 3 11 53.5529408954497 GZT PB
2011 Dezembro 3 12 43.0938013514242 GZT PB
2011 Dezembro 3 13 68.7420810423232 GZT PB
2011 Dezembro 3 14 65.6847561689968 GZT PB
2011 Dezembro 3 15 44.4275937963151 GZT PB
2011 Dezembro 3 16 5.77958465494493 GZT PB
2011 Dezembro 3 17 47.2199599626917 GZT PB
2011 Dezembro 3 18 62.859930349051 GZT PB
2011 Dezembro 3 19 45.2429725680562 GZT PB
2011 Dezembro 3 20 44.3617415473209 GZT PB
2011 Dezembro 3 21 60.4503069973214 GZT PB
2011 Dezembro 3 22 69.8182889573813 GZT PB
2011 Dezembro 3 23 61.3781137553432 GZT PB
2011 Dezembro 4 0 51.4148957564741 GZT PB
2011 Dezembro 4 1 68.8536027577047 GZT PB
2011 Dezembro 4 2 13.2957769015879 GZT PB
2011 Dezembro 4 3 47.2898009365426 GZT PB
2011 Dezembro 4 4 24.2494042191121 GZT PB
2011 Dezembro 4 5 39.1448255220747 GZT PB
2011 Dezembro 4 6 73.4534208892132 GZT PB
2011 Dezembro 4 7 51.246621076327 GZT PB
2011 Dezembro 4 8 55.0276886048205 GZT PB
2011 Dezembro 4 9 34.601200799484 GZT PB
2011 Dezembro 4 10 53.6037978593312 GZT PB
2011 Dezembro 4 11 50.1223216683848 GZT PB
2011 Dezembro 4 12 41.9671342756725 GZT PB
2011 Dezembro 4 13 32.6625434359582 GZT PB
2011 Dezembro 4 14 24.278641405034 GZT PB
2011 Dezembro 4 15 44.467784871316 GZT PB
2011 Dezembro 4 16 33.0312918066315 GZT PB
2011 Dezembro 4 17 41.1580622121316 GZT PB
2011 Dezembro 4 18 9.09936399030771 GZT PB
2011 Dezembro 4 19 61.0403879853894 GZT PB
2011 Dezembro 4 20 43.8401750258192 GZT PB
2011 Dezembro 4 21 73.7592306886413 GZT PB
2011 Dezembro 4 22 44.3665473904592 GZT PB
2011 Dezembro 4 23 65.1184825757601 GZT PB
2011 Dezembro 5 0 72.5955575233756 GZT PB
2011 Dezembro 5 1 41.3693094995413 GZT PB
2011 Dezembro 5 2 63.3058122407498 GZT PB
2011 Dezembro 5 3 21.6191894819133 GZT PB
2011 Dezembro 5 4 34.6420737095693 GZT PB
2011 Dezembro 5 5 66.1728570225165 GZT PB
2011 Dezembro 5 6 30.0764182796386 GZT PB
2011 Dezembro 5 7 35.9692878604876 GZT PB
2011 Dezembro 5 8 40.6040986649809 GZT PB
2011 Dezembro 5 9 84.2942651790592 GZT PB
2011 Dezembro 5 10 47.1551134300197 GZT PB
2011 Dezembro 5 11 52.9566229653141 GZT PB
2011 Dezembro 5 12 50.6386907964156 GZT PB
2011 Dezembro 5 13 30.8575236890053 GZT PB
2011 Dezembro 5 14 46.1587972947807 GZT PB
2011 Dezembro 5 15 56.6303017670783 GZT PB
2011 Dezembro 5 16 47.2069508907725 GZT PB
2011 Dezembro 5 17 58.1495850254418 GZT PB
2011 Dezembro 5 18 52.7463615129606 GZT PB
2011 Dezembro 5 19 40.6477011627444 GZT PB
2011 Dezembro 5 20 45.0543397374914 GZT PB
2011 Dezembro 5 21 46.1695695439711 GZT PB
2011 Dezembro 5 22 26.5464654420099 GZT PB
2011 Dezembro 5 23 59.2283383421732 GZT PB
2011 Dezembro 6 0 54.7114707597067 GZT PB
2011 Dezembro 6 1 42.225380048608 GZT PB
2011 Dezembro 6 2 49.4101283291281 GZT PB
2011 Dezembro 6 3 71.6136514090194 GZT PB
2011 Dezembro 6 4 71.6743120609175 GZT PB
2011 Dezembro 6 5 41.0150605490612 GZT PB
2011 Dezembro 6 6 70.4890133763225 GZT PB
2011 Dezembro 6 7 37.0193545350914 GZT PB
2011 Dezembro 6 8 50.5229538476104 GZT PB
2011 Dezembro 6 9 67.3591776575764 GZT PB
2011 Dezembro 6 10 40.5205331063074 GZT PB
2011 Dezembro 6 11 41.8081458745194 GZT PB
2011 Dezembro 6 12 17.7351581977466 GZT PB
2011 Dezembro 6 13 39.1319848971281 GZT PB
2011 Dezembro 6 14 51.9005656669952 GZT PB
2011 Dezembro 6 15 74.7701148112327 GZT PB
2011 Dezembro 6 16 59.3497065827781 GZT PB
2011 Dezembro 6 17 45.1730717807393 GZT PB
2011 Dezembro 6 18 66.233696690765 GZT PB
2011 Dezembro 6 19 34.25365666622 GZT PB
2011 Dezembro 6 20 44.6781642115892 GZT PB
2011 Dezembro 6 21 59.4546001842681 GZT PB
2011 Dezembro 6 22 44.0576736926793 GZT PB
2011 Dezembro 6 23 71.0326229235647 GZT PB
2011 Dezembro 7 0 49.900385375678 GZT PB
2011 Dezembro 7 1 42.401155873988 GZT PB
2011 Dezembro 7 2 58.3425377988831 GZT PB
2011 Dezembro 7 3 35.4764810619122 GZT PB
2011 Dezembro 7 4 41.4143293214939 GZT PB
2011 Dezembro 7 5 34.2496140810643 GZT PB
2011 Dezembro 7 6 38.81977195365 GZT PB
2011 Dezembro 7 7 67.7266384909876 GZT PB
2011 Dezembro 7 8 20.1367378321582 GZT PB
2011 Dezembro 7 9 52.2605063912749 GZT PB
2011 Dezembro 7 10 38.1142696778722 GZT PB
2011 Dezembro 7 11 48.8892472507339 GZT PB
2011 Dezembro 7 12 42.8071221908353 GZT PB
2011 Dezembro 7 13 45.5114164528708 GZT PB
2011 Dezembro 7 14 41.9987362674441 GZT PB
2011 Dezembro 7 15 61.5867255863509 GZT PB
2011 Dezembro 7 16 49.7481567994932 GZT PB
2011 Dezembro 7 17 34.122887560212 GZT PB
2011 Dezembro 7 18 59.3226792270049 GZT PB
2011 Dezembro 7 19 22.4988653037076 GZT PB
2011 Dezembro 7 20 57.3764813564562 GZT PB
2011 Dezembro 7 21 18.2599881574574 GZT PB
2011 Dezembro 7 22 36.5508990533668 GZT PB
2011 Dezembro 7 23 71.8324790534298 GZT PB
2011 Dezembro 1 0 70.4247759424189 Ola PB
2011 Dezembro 1 1 49.9699534640333 Ola PB
2011 Dezembro 1 2 48.6855504250439 Ola PB
2011 Dezembro 1 3 43.010973927014 Ola PB
2011 Dezembro 1 4 50.0741509775933 Ola PB
2011 Dezembro 1 5 41.1307910285162 Ola PB
2011 Dezembro 1 6 48.09143733435 Ola PB
2011 Dezembro 1 7 26.6651287403023 Ola PB
2011 Dezembro 1 8 53.2586493813009 Ola PB
2011 Dezembro 1 9 20.3461036107964 Ola PB
2011 Dezembro 1 10 57.9003281167687 Ola PB
2011 Dezembro 1 11 27.3959959377618 Ola PB
2011 Dezembro 1 12 37.7940980142006 Ola PB
2011 Dezembro 1 13 16.6618575311005 Ola PB
2011 Dezembro 1 14 72.1498878873663 Ola PB
2011 Dezembro 1 15 46.614944555267 Ola PB
2011 Dezembro 1 16 37.7632181220425 Ola PB
2011 Dezembro 1 17 15.5283838987147 Ola PB
2011 Dezembro 1 18 44.6178177989746 Ola PB
2011 Dezembro 1 19 46.418382109133 Ola PB
2011 Dezembro 1 20 40.2719722632914 Ola PB
2011 Dezembro 1 21 88.7066091489273 Ola PB
2011 Dezembro 1 22 46.3926980819149 Ola PB
2011 Dezembro 1 23 60.3621009546988 Ola PB
2011 Dezembro 2 0 9.92038186193888 Ola PB
2011 Dezembro 2 1 46.6502202791915 Ola PB
