intervalo ociosa maquina laboratorio
1219 FALSE lcc02_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1020 FALSE lcc02_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
840 FALSE lcc02_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
720 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
869 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1381 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1170 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
750 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1020 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1050 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1200 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1230 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
720 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
780 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1351 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
750 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
779 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
1350 TRUE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
781 FALSE lcc03_1.lcc.ufcg.edu.br@xmpp.ourgrid.org lccpeer@xmpp.ourgrid.org
