a1,a2,a3,a4=u,a4=y,a4=l,a5=g,a5=p,a5=gg,a6=w,a6=q,a6=m,a6=r,a6=cc,a6=k,a6=c,a6=d,a6=x,a6=i,a6=e,a6=aa,a6=ff,a6=j,a7=v,a7=h,a7=bb,a7=ff,a7=j,a7=z,a7=o,a7=dd,a7=n,a8,a9,a10,a11,a12,a13=g,a13=s,a13=p,a14,a15,result
0,30.83,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,0,0,1,0,1,0,0,202,0,approved
1,58.67,4.46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.04,0,0,6,0,1,0,0,43,560,approved
1,24.5,0.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,1,0,0,1,0,0,280,824,approved
0,27.83,1.54,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.75,0,0,5,1,1,0,0,100,3,approved
0,20.17,5.625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.71,0,1,0,0,0,1,0,120,0,approved
0,32.08,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,1,0,1,1,0,0,360,0,approved
0,33.17,1.04,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.5,0,1,0,1,1,0,0,164,31285,approved
1,22.92,11.585,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0,1,0,0,1,0,0,80,1349,approved
0,54.42,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.96,0,1,0,0,1,0,0,180,314,approved
0,42.5,4.915,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.165,0,1,0,1,1,0,0,52,1442,approved
0,22.08,0.83,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.165,1,1,0,1,1,0,0,128,0,approved
0,29.92,1.835,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.335,0,1,0,0,1,0,0,260,200,approved
1,38.25,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,approved
0,48.08,6.04,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,1,1,0,0,1,0,0,0,2690,approved
1,45.83,10.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,7,1,1,0,0,0,0,approved
0,36.67,4.415,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,10,1,1,0,0,320,0,approved
0,28.25,0.875,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.96,0,0,3,1,1,0,0,396,0,approved
1,23.25,5.875,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.17,0,0,10,0,1,0,0,120,245,approved
0,21.83,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.665,0,1,0,1,1,0,0,0,0,approved
1,19.17,8.585,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0,7,0,1,0,0,96,0,approved
0,25,11.25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,17,0,1,0,0,200,1208,approved
0,23.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.835,0,1,0,0,0,1,0,300,0,approved
1,47.75,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.875,0,0,6,1,1,0,0,0,1260,approved
1,27.42,14.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.085,0,0,1,0,1,0,0,120,11,approved
1,41.17,6.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,3,1,1,0,0,145,0,approved
1,15.83,0.585,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,2,0,1,0,0,100,0,approved
1,47,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.165,0,0,9,1,1,0,0,0,0,approved
0,56.58,18.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,17,1,1,0,0,0,0,approved
0,57.42,8.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,3,0,1,0,0,0,0,approved
0,42.08,1.04,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,1,1,0,0,500,10000,approved
