0.456a5=g+0.456a4=u-0.453a5=p-0.453a4=y-0.182a10...,0.465a4=l+0.465a5=gg+0.358a7=o+0.333a15-0.282a13=g...,'0.322a7=v-0.274a3-0.257a11-0.252a8+0.24 a10...','-0.524a7=ff-0.506a6=ff-0.248a9+0.213a7=v+0.2  a8...',0.374a13=s+0.337a7=bb-0.337a13=g+0.288a2-0.283a7=v...,0.448a7=j+0.431a6=j-0.313a7=v+0.283a6=i+0.262a7=h...,-0.443a7=j-0.439a6=j-0.38a6=e-0.321a7=z-0.221a7=dd...,-0.364a6=e+0.345a13=s-0.332a7=dd-0.32a13=g-0.255a6=i...,-0.653a7=n-0.653a6=r+0.209a6=i+0.187a7=bb-0.111a13=s...,0.481a7=h-0.35a7=bb+0.267a7=dd-0.259a6=i+0.237a6=q...,0.682a6=c+0.383a13=p-0.292a12-0.269a6=w-0.203a6=m...,'0.482a6=q+0.408a1+0.34 a6=aa-0.303a6=w-0.268a14...',0.378a6=d-0.346a7=dd+0.338a10+0.298a6=k-0.283a6=m...,-0.617a6=x+0.403a6=cc-0.374a6=aa+0.326a6=k-0.214a14...,-0.623a6=cc-0.476a6=aa+0.391a6=w+0.343a6=q+0.182a6=k...,-0.706a6=k+0.536a6=d+0.328a6=w-0.184a6=m-0.112a2...,0.528a6=w-0.452a12-0.344a6=d-0.262a6=m-0.238a14...,0.404a7=dd-0.376a7=z+0.354a6=d+0.289a6=k-0.234a14...,0.488a12-0.443a6=m+0.264a6=c+0.255a7=dd+0.254a6=aa...,-0.492a6=m+0.363a14-0.258a7=h+0.256a6=d+0.243a11...,-0.54a13=p+0.336a7=z-0.306a2-0.285a7=dd+0.248a6=c...,0.382a6=x+0.334a6=cc-0.32a14-0.311a6=aa+0.291a12...,-0.413a6=q+0.411a1+0.353a12-0.274a8+0.225a6=m...,'0.39 a13=p-0.381a1-0.365a15+0.26 a9-0.253a2...','-0.486a3+0.365a1-0.277a12+0.26 a8-0.252a15...','0.58 a3+0.499a14+0.318a9+0.313a1-0.177a12...','0.497a7=o-0.398a7=bb+0.33 a9+0.293a6=i+0.269a11...',0.475a8+0.419a15-0.37a7=n-0.339a2+0.302a6=r...,-0.5a9+0.483a6=i-0.409a7=bb+0.191a6=r-0.18a8...,result
1.214039,-0.336163,0.852428,0.467543,-1.164155,-0.844443,-0.083803,-0.026609,0.209822,-0.621534,-1.001409,-1.578099,-0.630594,0.182661,1.213538,0.85392,1.944373,-0.428218,-0.083881,0.120248,-0.377174,-0.783806,-0.150433,-0.271607,0.876554,-0.730264,-0.252555,-0.329707,0.490248,approved
2.311403,-1.032353,-2.023882,-0.184228,-0.329223,0.7947,0.288797,1.014533,0.023122,1.523702,0.759588,1.980168,-0.142043,0.539862,1.050131,-0.007833,0.035745,-0.936795,-0.55702,-0.286982,-1.058517,-0.299151,-0.512382,-0.440998,1.143091,-0.353207,0.392211,-0.909372,0.063115,approved
1.281186,-0.271379,-0.13385,-0.400175,-0.914645,1.591734,0.738754,-0.045542,0.093305,2.746668,0.511744,1.732174,-0.354268,0.270472,0.867613,0.244962,-0.034644,-1.307402,-0.455554,-0.352123,-0.375553,-0.791257,-0.629717,-0.459955,0.341715,-0.128667,-0.525598,-0.141827,0.237391,approved
1.482523,-0.513368,0.337428,1.044557,-0.953834,-0.786829,-0.019813,0.314469,0.003879,-1.047652,-1.430208,-1.483019,-0.382478,0.483499,1.398624,1.062805,1.237631,-0.270537,0.938887,-0.188639,-0.267149,-0.011518,0.626415,0.31694,0.407668,-1.004915,-0.024198,0.124085,0.01946,approved
0.607967,1.612094,2.782077,0.510186,1.428938,-1.075977,-0.989131,1.870902,-0.642554,0.323441,-0.665849,-0.016491,-0.350253,0.200003,0.997357,1.429734,3.604027,0.115191,0.771244,0.042818,0.125145,-0.390509,-0.109019,-0.666021,-0.591673,-0.400632,-0.314426,-0.043156,0.277727,approved
0.934583,0.291447,1.407925,0.798708,0.449829,-0.457903,-0.008396,0.721523,-0.193321,-0.402045,-1.764167,-0.805859,-0.823665,-0.930547,0.081841,-0.872666,-2.016814,-0.400448,-1.416086,-2.227787,-0.117027,0.316221,0.37895,-0.048159,0.024003,0.558578,-0.977658,-0.385483,0.716649,approved
1.189674,1.70173,-2.449093,1.789616,0.155837,2.373645,2.424263,-2.655147,-10.121479,-0.582221,-0.846558,-0.418911,0.852428,-1.079573,-0.338667,-0.695242,0.245589,-0.582889,-0.34225,-0.557096,-2.465645,-1.375373,0.777324,-4.430417,-0.943967,-1.31301,-1.454719,7.47743,2.38227,approved
1.096843,0.114545,0.15501,-0.040815,-1.399193,-0.088327,-0.281615,-0.068855,0.32777,0.613218,-0.199456,0.216116,-0.183879,1.478229,-2.816518,0.096059,1.198334,-0.43784,-0.75798,0.240246,0.223295,2.083567,0.272175,-1.755766,-0.906025,0.871396,-1.27994,-0.521786,0.175951,approved
-3.247884,-1.261509,-1.449657,0.913232,1.048636,0.398017,0.702448,0.481189,0.136769,1.329244,0.28082,-0.285851,2.005302,1.130854,0.695289,-2.807545,0.519757,0.158336,-0.066308,-0.340516,-1.437091,-1.014566,-0.726807,-0.649836,1.307106,-0.430585,-0.147543,-0.714367,0.669047,approved
-3.122738,-0.992027,-0.486967,1.603241,-0.210669,-0.998931,-0.198309,0.23124,0.115597,-1.195075,-1.401877,-0.779257,0.688161,0.260051,1.607386,1.191157,1.302596,-0.926572,0.770104,-0.780477,-0.83446,0.763649,0.004757,-0.716061,0.151469,-0.708702,-0.436359,-0.461128,0.202839,approved
0.525892,0.085662,0.685915,-0.102729,0.07469,1.046045,0.892199,-0.644051,-0.227359,1.07279,1.825465,-1.093339,0.815886,0.29954,-0.022686,0.281877,-0.748212,-0.486625,0.876637,-1.699805,0.762779,-0.601205,0.789986,0.483897,-0.227734,-0.355958,0.41574,0.396419,-0.451305,approved
0.997788,-0.216945,-0.006897,0.246633,0.286772,0.819791,0.721766,-0.133063,-0.013203,1.062117,2.163614,-0.986404,0.634767,-0.16192,-0.327492,0.126417,0.020464,-0.529097,0.257038,-1.363187,0.177415,-1.412633,-0.507519,-0.494696,0.311591,-0.039734,-0.034601,-0.026344,0.723343,approved
0.918506,-0.1416,0.619713,-0.214788,-0.644099,-0.266392,-0.337457,-0.110337,0.04264,0.127815,-0.79567,0.664438,1.858607,1.206585,0.814124,-2.690028,-0.295462,0.869943,1.187481,0.220856,-0.122693,1.137187,0.750232,-1.143067,0.486675,-0.168136,-0.93415,-0.505261,0.429341,approved
0.51354,0.286661,1.022831,-0.689469,-0.251311,-0.883159,-0.346392,-0.671485,0.007608,-0.118699,-0.195936,-0.278831,2.183598,1.418375,0.590876,-2.930234,0.47968,1.098495,-0.501151,-0.040584,-0.319775,0.262605,-0.766448,-0.490459,0.398122,0.044963,-0.045749,-0.289901,-0.273266,approved
2.351651,-0.872269,-1.268101,0.535359,-1.028063,-0.372412,-0.466291,1.005809,-0.079298,-0.274165,-0.429183,2.361547,-0.210626,0.599177,1.260042,0.247636,-0.934058,-0.402104,0.452088,0.174918,-0.283111,1.431034,-0.492341,-0.140198,-0.120108,-0.02749,0.166232,-0.312685,-0.176575,approved
-2.880536,-1.360595,-0.911932,1.963846,-0.436293,-0.683487,0.14354,0.838569,0.166182,-0.580752,-0.941131,-0.366237,0.176975,1.200833,0.959414,-2.806325,-0.618855,1.313281,0.756345,1.688435,-0.544313,-0.361238,0.267267,0.449527,-0.218604,-0.102316,0.057163,-0.730627,0.624228,approved
1.23527,0.016118,1.145237,1.064224,-0.059049,-0.474462,0.112587,1.069166,-0.1641,-0.506896,-1.737183,-1.06764,-1.976736,-0.857806,0.182691,-1.020849,-2.127148,-0.03502,-1.495564,-1.428057,0.001726,-0.297753,0.986326,0.493637,0.25989,0.10867,-0.662084,-0.407427,0.740536,approved
2.044482,-0.732155,-0.545197,0.342913,-1.877804,-0.225913,-0.396809,0.717036,0.072472,0.313727,0.139325,2.277818,-1.386765,0.625233,0.874085,0.219901,-0.067066,0.050182,-0.54304,0.918577,0.108784,0.166302,-0.720822,0.101825,0.208767,0.110449,0.051491,0.192659,-0.089071,approved
0.793961,-0.12503,0.524716,0.067415,0.382996,1.056194,0.829418,-0.203547,-0.324507,1.693786,-0.237501,-0.23816,2.577284,1.137836,-0.460335,2.764349,-1.610417,1.626724,-0.796261,-0.299604,-0.521959,-1.109474,1.380254,0.287655,0.392564,-1.817261,-0.89191,-0.285565,0.694897,approved
